Source,Winner,Winner Score,Loser,Loser Score,GameID,GameIDInt,Away Code,Away Short Name,Away Full Name,Home Code,Home Short Name,Home Full Name,AwayScore,HomeScore,Spread,Total
NFLSpinzone,Bills,34,Dolphins,7,MIABUF,4765707,MIA,Dolphins,Miami Dolphins,BUF,Bills,Buffalo Bills,7,34,-11.5,50.5
NFLSpinzone,Colts,23,Titans,16,INDTEN,4765708,IND,Colts,Indianapolis Colts,TEN,Titans,Tennessee Titans,23,16,4,43.5
NFLSpinzone,Steelers,28,Patriots,27,PITNE,4765709,PIT,Steelers,Pittsburgh Steelers,NE,Patriots,New England Patriots,28,27,1.5,44.5
NFLSpinzone,Buccaneers,24,Jets,16,NYJTB,4765710,NYJ,Jets,New York Jets,TB,Buccaneers,Tampa Bay Buccaneers,16,24,-6.5,43.5
NFLSpinzone,Commanders,24,Raiders,20,LVWAS,4765711,LV,Raiders,Las Vegas Raiders,WAS,Commanders,Washington Commanders,20,24,-3.5,44
NFLSpinzone,Rams,24,Eagles,21,LARPHI,4765712,LAR,Rams,Los Angeles Rams,PHI,Eagles,Philadelphia Eagles,24,21,-3,44.5
NFLSpinzone,Falcons,20,Panthers,17,ATLCAR,4765713,ATL,Falcons,Atlanta Falcons,CAR,Panthers,Carolina Panthers,20,17,5.5,44
NFLSpinzone,Vikings,26,Bengals,20,CINMIN,4765714,CIN,Bengals,Cincinnati Bengals,MIN,Vikings,Minnesota Vikings,20,26,-3,42
NFLSpinzone,Jaguars,27,Texans,20,HOUJAC,4765715,HOU,Texans,Houston Texans,JAC,Jaguars,Jacksonville Jaguars,20,27,-1.5,44
NFLSpinzone,Packers,27,Browns,13,GBCLE,4765716,GB,Packers,Green Bay Packers,CLE,Browns,Cleveland Browns,27,13,7,41.5
NFLSpinzone,Broncos,23,Chargers,20,DENLAC,4765717,DEN,Broncos,Denver Broncos,LAC,L.A. Chargers,Los Angeles Chargers,23,20,-3,46
NFLSpinzone,Seahawks,30,Saints,16,NOSEA,4765718,NO,Saints,New Orleans Saints,SEA,Seahawks,Seattle Seahawks,16,30,-7,42
NFLSpinzone,Cardinals,21,49ers,17,ARISF,4765719,ARI,Cardinals,Arizona Cardinals,SF,49ers,San Francisco 49ers,21,17,-3,44.5
NFLSpinzone,Bears,30,Cowboys,28,DALCHI,4765720,DAL,Cowboys,Dallas Cowboys,CHI,Bears,Chicago Bears,28,30,1,50.5
NFLSpinzone,Giants,20,Chiefs,18,KCNYG,4765721,KC,Chiefs,Kansas City Chiefs,NYG,N.Y. Giants,New York Giants,18,18,6,45
NFLSpinzone,Ravens,31,Lions,23,DETBAL,4765722,DET,Lions,Detroit Lions,BAL,Ravens,Baltimore Ravens,23,31,-4.5,53
NickWhalen,Bills,37,Dolphins,24,MIABUF,4765707,MIA,Dolphins,Miami Dolphins,BUF,Bills,Buffalo Bills,24,37,-11.5,50.5
NickWhalen,Colts,26,Titans,20,INDTEN,4765708,IND,Colts,Indianapolis Colts,TEN,Titans,Tennessee Titans,26,20,4,43.5
NickWhalen,Steelers,23,Patriots,21,PITNE,4765709,PIT,Steelers,Pittsburgh Steelers,NE,Patriots,New England Patriots,23,21,1.5,44.5
NickWhalen,Buccaneers,27,Jets,20,NYJTB,4765710,NYJ,Jets,New York Jets,TB,Buccaneers,Tampa Bay Buccaneers,20,27,-6.5,43.5
NickWhalen,Commanders,23,Raiders,20,LVWAS,4765711,LV,Raiders,Las Vegas Raiders,WAS,Commanders,Washington Commanders,20,23,-3.5,44
NickWhalen,Eagles,23,Rams,20,LARPHI,4765712,LAR,Rams,Los Angeles Rams,PHI,Eagles,Philadelphia Eagles,20,23,-3,44.5
NickWhalen,Falcons,28,Panthers,21,ATLCAR,4765713,ATL,Falcons,Atlanta Falcons,CAR,Panthers,Carolina Panthers,28,21,5.5,44
NickWhalen,Vikings,23,Bengals,20,CINMIN,4765714,CIN,Bengals,Cincinnati Bengals,MIN,Vikings,Minnesota Vikings,20,23,-3,42
NickWhalen,Texans,21,Jaguars,20,HOUJAC,4765715,HOU,Texans,Houston Texans,JAC,Jaguars,Jacksonville Jaguars,21,20,-1.5,44
NickWhalen,Packers,23,Browns,17,GBCLE,4765716,GB,Packers,Green Bay Packers,CLE,Browns,Cleveland Browns,23,17,7,41.5
NickWhalen,Broncos,23,Chargers,21,DENLAC,4765717,DEN,Broncos,Denver Broncos,LAC,L.A. Chargers,Los Angeles Chargers,23,21,-3,46
NickWhalen,Seahawks,24,Saints,16,NOSEA,4765718,NO,Saints,New Orleans Saints,SEA,Seahawks,Seattle Seahawks,16,24,-7,42
NickWhalen,49ers,21,Cardinals,20,ARISF,4765719,ARI,Cardinals,Arizona Cardinals,SF,49ers,San Francisco 49ers,20,21,-3,44.5
