Source,Winner,Winner Score,Loser,Loser Score,GameID,Away Code,Away Short Name,Away Full Name,Home Code,Home Short Name,Home Full Name,AwayScore,HomeScore
JarrettBell,49ers,23,Rams,17,SFLAR,SF,49ers,San Francisco 49ers,LAR,L.A. Rams,Los Angeles Rams,23,17
ChrisBumbaca,49ers,21,Rams,13,SFLAR,SF,49ers,San Francisco 49ers,LAR,L.A. Rams,Los Angeles Rams,21,13
NateDavis,49ers,24,Rams,13,SFLAR,SF,49ers,San Francisco 49ers,LAR,L.A. Rams,Los Angeles Rams,24,13
TylerDragon,49ers,28,Rams,19,SFLAR,SF,49ers,San Francisco 49ers,LAR,L.A. Rams,Los Angeles Rams,28,19
MichaelMiddlehurst-Schwartz,49ers,28,Rams,17,SFLAR,SF,49ers,San Francisco 49ers,LAR,L.A. Rams,Los Angeles Rams,28,17
LorenzoReyes,49ers,22,Rams,16,SFLAR,SF,49ers,San Francisco 49ers,LAR,L.A. Rams,Los Angeles Rams,22,16
JarrettBell,Ravens,27,Cowboys,23,BALDAL,BAL,Ravens,Baltimore Ravens,DAL,Cowboys,Dallas Cowboys,27,23
ChrisBumbaca,Ravens,27,Cowboys,23,BALDAL,BAL,Ravens,Baltimore Ravens,DAL,Cowboys,Dallas Cowboys,27,23
NateDavis,Ravens,27,Cowboys,23,BALDAL,BAL,Ravens,Baltimore Ravens,DAL,Cowboys,Dallas Cowboys,27,23
TylerDragon,Ravens,23,Cowboys,18,BALDAL,BAL,Ravens,Baltimore Ravens,DAL,Cowboys,Dallas Cowboys,23,18
MichaelMiddlehurst-Schwartz,Ravens,23,Cowboys,21,BALDAL,BAL,Ravens,Baltimore Ravens,DAL,Cowboys,Dallas Cowboys,23,21
LorenzoReyes,Cowboys,23,Ravens,20,BALDAL,BAL,Ravens,Baltimore Ravens,DAL,Cowboys,Dallas Cowboys,20,23
JarrettBell,Chiefs,30,Falcons,27,KCATL,KC,Chiefs,Kansas City Chiefs,ATL,Falcons,Atlanta Falcons,30,27
ChrisBumbaca,Chiefs,26,Falcons,20,KCATL,KC,Chiefs,Kansas City Chiefs,ATL,Falcons,Atlanta Falcons,26,20
NateDavis,Chiefs,27,Falcons,24,KCATL,KC,Chiefs,Kansas City Chiefs,ATL,Falcons,Atlanta Falcons,27,24
TylerDragon,Chiefs,26,Falcons,20,KCATL,KC,Chiefs,Kansas City Chiefs,ATL,Falcons,Atlanta Falcons,26,20
MichaelMiddlehurst-Schwartz,Chiefs,27,Falcons,16,KCATL,KC,Chiefs,Kansas City Chiefs,ATL,Falcons,Atlanta Falcons,27,16
LorenzoReyes,Chiefs,25,Falcons,23,KCATL,KC,Chiefs,Kansas City Chiefs,ATL,Falcons,Atlanta Falcons,25,23
JarrettBell,Bills,24,Jaguars,20,JACBUF,JAC,Jaguars,Jacksonville Jaguars,BUF,Bills,Buffalo Bills,20,24
ChrisBumbaca,Jaguars,23,Bills,18,JACBUF,JAC,Jaguars,Jacksonville Jaguars,BUF,Bills,Buffalo Bills,23,18
NateDavis,Bills,24,Jaguars,20,JACBUF,JAC,Jaguars,Jacksonville Jaguars,BUF,Bills,Buffalo Bills,20,24
TylerDragon,Bills,25,Jaguars,24,JACBUF,JAC,Jaguars,Jacksonville Jaguars,BUF,Bills,Buffalo Bills,24,25
MichaelMiddlehurst-Schwartz,Bills,24,Jaguars,17,JACBUF,JAC,Jaguars,Jacksonville Jaguars,BUF,Bills,Buffalo Bills,17,24
LorenzoReyes,Bills,29,Jaguars,19,JACBUF,JAC,Jaguars,Jacksonville Jaguars,BUF,Bills,Buffalo Bills,19,29
JarrettBell,Bengals,27,Commanders,17,WASCIN,WAS,Commanders,Washington Commanders,CIN,Bengals,Cincinnati Bengals,17,27
ChrisBumbaca,Bengals,24,Commanders,17,WASCIN,WAS,Commanders,Washington Commanders,CIN,Bengals,Cincinnati Bengals,17,24
NateDavis,Bengals,33,Commanders,23,WASCIN,WAS,Commanders,Washington Commanders,CIN,Bengals,Cincinnati Bengals,23,33
TylerDragon,Bengals,26,Commanders,20,WASCIN,WAS,Commanders,Washington Commanders,CIN,Bengals,Cincinnati Bengals,20,26
MichaelMiddlehurst-Schwartz,Bengals,21,Commanders,14,WASCIN,WAS,Commanders,Washington Commanders,CIN,Bengals,Cincinnati Bengals,14,21
LorenzoReyes,Bengals,30,Commanders,13,WASCIN,WAS,Commanders,Washington Commanders,CIN,Bengals,Cincinnati Bengals,13,30
AliNFL,Bills,30,Jaguars,24,JACBUF,JAC,Jaguars,Jacksonville Jaguars,BUF,Bills,Buffalo Bills,24,30
BrookeNFL,Bills,30,Jaguars,23,JACBUF,JAC,Jaguars,Jacksonville Jaguars,BUF,Bills,Buffalo Bills,23,30
DanNFL,Bills,27,Jaguars,20,JACBUF,JAC,Jaguars,Jacksonville Jaguars,BUF,Bills,Buffalo Bills,20,27
GennaroNFL,Jaguars,26,Bills,22,JACBUF,JAC,Jaguars,Jacksonville Jaguars,BUF,Bills,Buffalo Bills,26,22
TomNFL,Bills,27,Jaguars,20,JACBUF,JAC,Jaguars,Jacksonville Jaguars,BUF,Bills,Buffalo Bills,20,27
AliNFL,Bengals,27,Commanders,20,WASCIN,WAS,Commanders,Washington Commanders,CIN,Bengals,Cincinnati Bengals,20,27
BrookeNFL,Bengals,28,Commanders,18,WASCIN,WAS,Commanders,Washington Commanders,CIN,Bengals,Cincinnati Bengals,18,28
DanNFL,Bengals,28,Commanders,17,WASCIN,WAS,Commanders,Washington Commanders,CIN,Bengals,Cincinnati Bengals,17,28
GennaroNFL,Bengals,34,Commanders,20,WASCIN,WAS,Commanders,Washington Commanders,CIN,Bengals,Cincinnati Bengals,20,34
TomNFL,Bengals,28,Commanders,18,WASCIN,WAS,Commanders,Washington Commanders,CIN,Bengals,Cincinnati Bengals,18,28
AliNFL,Falcons,24,Chiefs,22,KCATL,KC,Chiefs,Kansas City Chiefs,ATL,Falcons,Atlanta Falcons,22,24
BrookeNFL,Chiefs,24,Falcons,22,KCATL,KC,Chiefs,Kansas City Chiefs,ATL,Falcons,Atlanta Falcons,24,22
DanNFL,Chiefs,25,Falcons,20,KCATL,KC,Chiefs,Kansas City Chiefs,ATL,Falcons,Atlanta Falcons,25,20
GennaroNFL,Chiefs,28,Falcons,23,KCATL,KC,Chiefs,Kansas City Chiefs,ATL,Falcons,Atlanta Falcons,28,23
TomNFL,Chiefs,28,Falcons,23,KCATL,KC,Chiefs,Kansas City Chiefs,ATL,Falcons,Atlanta Falcons,28,23
AliNFL,Browns,21,Giants,17,NYGCLE,NYG,Giants,New York Giants,CLE,Browns,Cleveland Browns,17,21
BrookeNFL,Browns,30,Giants,17,NYGCLE,NYG,Giants,New York Giants,CLE,Browns,Cleveland Browns,17,30
DanNFL,Browns,22,Giants,13,NYGCLE,NYG,Giants,New York Giants,CLE,Browns,Cleveland Browns,13,22
GennaroNFL,Browns,21,Giants,9,NYGCLE,NYG,Giants,New York Giants,CLE,Browns,Cleveland Browns,9,21
